exp,v_A,dk_min,N_P,WoverNP,seed,ptype,status,proven,max_gap,obj,sv,hr,rr,n_hit,n_K,n_exp,n_P,weapon_bind,sec
II,300,9,6,1.3333,42,factorial,Optimal,True,0.0,,141.0,1.0,1.0,24,24,24,24,0.75,0.7
II,300,9,6,1.3333,99,factorial,Optimal,True,0.0,,137.0,1.0,1.0,24,24,24,24,0.75,1.0
II,300,9,6,1.3333,314,factorial,Optimal,True,0.0,,136.0,1.0,1.0,24,24,24,24,0.75,1.0
II,300,9,6,1.3333,7,factorial,Optimal,True,0.0,,143.0,1.0,1.0,24,24,24,24,0.75,1.1
II,300,9,6,1.3333,21,factorial,Optimal,True,0.0,,124.0,1.0,1.0,24,24,24,24,0.75,1.2
II,300,9,6,1.3333,137,factorial,Optimal,True,0.0,,139.0,1.0,1.0,24,24,24,24,0.75,0.9
II,1110,3,6,1.3333,42,factorial,Optimal,True,0.0,,141.0,1.0,1.0,24,24,24,24,0.75,2.1
II,1110,3,6,1.3333,99,factorial,Optimal,True,0.0,,137.0,1.0,1.0,24,24,24,24,0.75,2.0
II,1110,3,6,1.3333,314,factorial,Optimal,True,0.0,,136.0,1.0,1.0,24,24,24,24,0.75,1.8
II,1110,3,6,1.3333,7,factorial,Optimal,True,0.0,,143.0,1.0,1.0,24,24,24,24,0.75,1.6
II,1110,3,6,1.3333,21,factorial,Optimal,True,0.0,,124.0,1.0,1.0,24,24,24,24,0.75,1.7
II,1110,3,6,1.3333,137,factorial,Optimal,True,0.0,,139.0,1.0,1.0,24,24,24,24,0.75,1.7
II,1110,9,6,1.3333,42,factorial,Optimal,True,0.0,,141.0,1.0,1.0,24,24,24,24,0.75,1.1
II,1110,9,6,1.3333,99,factorial,Optimal,True,0.0,,137.0,1.0,1.0,24,24,24,24,0.75,0.7
II,1110,9,6,1.3333,314,factorial,Optimal,True,0.0,,136.0,1.0,1.0,24,24,24,24,0.75,0.7
II,1110,9,6,1.3333,7,factorial,Optimal,True,0.0,,143.0,1.0,1.0,24,24,24,24,0.75,1.2
II,1110,9,6,1.3333,21,factorial,Optimal,True,0.0,,124.0,1.0,1.0,24,24,24,24,0.75,0.9
II,1110,9,6,1.3333,137,factorial,Optimal,True,0.0,,139.0,1.0,1.0,24,24,24,24,0.75,0.6
II,600,6,8,1.0,42,center,Optimal,True,0.0,,163.0,1.0,1.0,32,32,32,32,1.0,3.0
II,600,6,8,1.0,99,center,Optimal,True,0.0,,191.0,1.0,1.0,32,32,32,32,1.0,3.2
II,600,6,8,1.0,314,center,Optimal,True,0.0,,191.0,1.0,1.0,32,32,32,32,1.0,4.3
II,600,6,8,1.0,7,center,Optimal,True,0.0,,165.0,1.0,1.0,32,32,32,32,1.0,5.7
II,600,6,8,1.0,21,center,Optimal,True,0.0,,179.0,1.0,1.0,32,32,32,32,1.0,4.2
II,600,6,8,1.0,137,center,Optimal,True,0.0,,175.0,1.0,1.0,32,32,32,32,1.0,3.2
II,300,9,10,0.8,42,factorial,Optimal,True,0.0,,187.0,0.8,1.0,32,40,40,40,1.0,10.1
II,300,9,10,0.8,99,factorial,Optimal,True,0.0,,208.0,0.8,1.0,32,40,40,40,1.0,8.7
II,300,9,10,0.8,314,factorial,Optimal,True,0.0,,201.0,0.8,1.0,32,40,40,40,1.0,10.1
II,300,9,10,0.8,7,factorial,Optimal,True,0.0,,199.0,0.8,1.0,32,40,40,40,1.0,7.1
II,300,9,10,0.8,21,factorial,Optimal,True,0.0,,223.0,0.8,1.0,32,40,40,40,1.0,4.1
II,300,9,10,0.8,137,factorial,Optimal,True,0.0,,208.0,0.8,1.0,32,40,40,40,1.0,7.9
II,1110,3,10,0.8,42,factorial,Optimal,True,0.0,,187.0,0.8,1.0,32,40,40,40,1.0,134.9
II,1110,3,10,0.8,99,factorial,Optimal,True,0.0,,208.0,0.8,1.0,32,40,40,40,1.0,105.5
II,1110,3,10,0.8,314,factorial,Optimal,True,0.0,,201.0,0.8,1.0,32,40,40,40,1.0,18.1
II,1110,3,10,0.8,7,factorial,Optimal,True,0.0,,199.0,0.8,1.0,32,40,40,40,1.0,56.5
II,1110,3,10,0.8,21,factorial,Optimal,True,0.0,,223.0,0.8,1.0,32,40,40,40,1.0,34.4
II,1110,3,10,0.8,137,factorial,Optimal,True,0.0,,208.0,0.8,1.0,32,40,40,40,1.0,108.3
II,1110,9,10,0.8,42,factorial,Optimal,True,0.0,,187.0,0.8,1.0,32,40,40,40,1.0,13.2
II,1110,9,10,0.8,99,factorial,Optimal,True,0.0,,208.0,0.8,1.0,32,40,40,40,1.0,12.1
II,1110,9,10,0.8,314,factorial,Optimal,True,0.0,,201.0,0.8,1.0,32,40,40,40,1.0,3.9
II,1110,9,10,0.8,7,factorial,Optimal,True,0.0,,199.0,0.8,1.0,32,40,40,40,1.0,8.6
II,1110,9,10,0.8,21,factorial,Optimal,True,0.0,,223.0,0.8,1.0,32,40,40,40,1.0,16.6
II,1110,9,10,0.8,137,factorial,Optimal,True,0.0,,208.0,0.8,1.0,32,40,40,40,1.0,5.6
II,300,3,6,1.3333,42,factorial,Optimal,True,0.0,,44.0,0.25,1.0,6,24,24,24,0.1875,0.5
II,300,3,6,1.3333,99,factorial,Optimal,True,0.0,,105.0,0.75,1.0,18,24,24,24,0.5625,1.2
II,300,3,6,1.3333,314,factorial,Optimal,True,0.0,,64.0,0.5,1.0,12,24,24,24,0.375,0.7
II,300,3,6,1.3333,7,factorial,Optimal,True,0.0,,27.0,0.25,1.0,6,24,24,24,0.1875,0.5
II,300,3,6,1.3333,21,factorial,Optimal,True,0.0,,37.0,0.25,1.0,6,24,24,24,0.1875,0.4
II,300,3,6,1.3333,137,factorial,Optimal,True,0.0,,97.0,0.75,1.0,18,24,24,24,0.5625,0.6
II,300,3,10,0.8,42,factorial,Optimal,True,0.0,,103.0,0.4,1.0,16,40,40,40,0.5,13.3
