exp,v_A,dk_min,N_P,WoverNP,seed,ptype,status,proven,max_gap,obj,sv,hr,rr,n_hit,n_K,n_exp,n_P,weapon_bind,sec
I,300,9,4,2.0,42,factorial,Optimal,True,0.0,,94.0,1.0,1.0,16,16,16,16,0.5,0.3
I,300,9,4,2.0,99,factorial,Optimal,True,0.0,,75.0,1.0,1.0,16,16,16,16,0.5,0.1
I,300,9,4,2.0,314,factorial,Optimal,True,0.0,,85.0,1.0,1.0,16,16,16,16,0.5,0.1
I,300,9,4,2.0,7,factorial,Optimal,True,0.0,,97.0,1.0,1.0,16,16,16,16,0.5,0.2
I,300,9,4,2.0,21,factorial,Optimal,True,0.0,,99.0,1.0,1.0,16,16,16,16,0.5,0.2
I,300,9,4,2.0,137,factorial,Optimal,True,0.0,,82.0,1.0,1.0,16,16,16,16,0.5,0.2
I,1110,3,4,2.0,42,factorial,Optimal,True,0.0,,94.0,1.0,1.0,16,16,16,16,0.5,0.6
I,1110,3,4,2.0,99,factorial,Optimal,True,0.0,,75.0,1.0,1.0,16,16,16,16,0.5,0.3
I,1110,3,4,2.0,314,factorial,Optimal,True,0.0,,85.0,1.0,1.0,16,16,16,16,0.5,0.3
I,1110,3,4,2.0,7,factorial,Optimal,True,0.0,,97.0,1.0,1.0,16,16,16,16,0.5,0.4
I,1110,3,4,2.0,21,factorial,Optimal,True,0.0,,99.0,1.0,1.0,16,16,16,16,0.5,0.3
I,1110,3,4,2.0,137,factorial,Optimal,True,0.0,,82.0,1.0,1.0,16,16,16,16,0.5,0.5
I,1110,9,4,2.0,42,factorial,Optimal,True,0.0,,94.0,1.0,1.0,16,16,16,16,0.5,0.2
I,1110,9,4,2.0,99,factorial,Optimal,True,0.0,,75.0,1.0,1.0,16,16,16,16,0.5,0.1
I,1110,9,4,2.0,314,factorial,Optimal,True,0.0,,85.0,1.0,1.0,16,16,16,16,0.5,0.1
I,1110,9,4,2.0,7,factorial,Optimal,True,0.0,,97.0,1.0,1.0,16,16,16,16,0.5,0.1
I,1110,9,4,2.0,21,factorial,Optimal,True,0.0,,99.0,1.0,1.0,16,16,16,16,0.5,0.1
