exp,v_A,dk_min,N_P,WoverNP,seed,ptype,status,proven,max_gap,obj,sv,hr,rr,n_hit,n_K,n_exp,n_P,weapon_bind,sec
EXT,300,9,12,0.6667,42,factorial,Optimal,True,0.0,,194.0,0.666667,1.0,32,48,48,48,1.0,27.6
EXT,300,9,12,0.6667,99,factorial,Optimal,True,0.0,,220.0,0.666667,1.0,32,48,48,48,1.0,39.1
EXT,300,9,12,0.6667,314,factorial,Optimal,True,0.0,,217.0,0.666667,1.0,32,48,48,48,1.0,18.4
EXT,300,9,12,0.6667,7,factorial,Optimal,True,0.0,,216.0,0.666667,1.0,32,48,48,48,1.0,21.4
EXT,300,9,12,0.6667,21,factorial,Optimal,True,0.0,,250.0,0.666667,1.0,32,48,48,48,1.0,9.0
EXT,300,9,12,0.6667,137,factorial,Optimal,True,0.0,,237.0,0.666667,1.0,32,48,48,48,1.0,24.7
EXT,1110,3,12,0.6667,42,factorial,Optimal,True,0.0,,194.0,0.666667,1.0,32,48,48,48,1.0,335.3
EXT,1110,3,12,0.6667,99,factorial,Optimal,True,0.0,,220.0,0.666667,1.0,32,48,48,48,1.0,1029.2
EXT,1110,3,12,0.6667,314,factorial,Optimal,True,0.0,,217.0,0.666667,1.0,32,48,48,48,1.0,220.0
EXT,1110,3,12,0.6667,7,factorial,Optimal,True,0.0,,216.0,0.666667,1.0,32,48,48,48,1.0,876.4
EXT,1110,3,12,0.6667,21,factorial,Optimal,True,0.0,,250.0,0.666667,1.0,32,48,48,48,1.0,1130.1
EXT,1110,3,12,0.6667,137,factorial,Optimal,True,0.0,,237.0,0.666667,1.0,32,48,48,48,1.0,228.6
EXT,1110,9,12,0.6667,42,factorial,Optimal,True,0.0,,194.0,0.666667,1.0,32,48,48,48,1.0,47.1
EXT,1110,9,12,0.6667,99,factorial,Optimal,True,0.0,,220.0,0.666667,1.0,32,48,48,48,1.0,28.9
EXT,1110,9,12,0.6667,314,factorial,Optimal,True,0.0,,217.0,0.666667,1.0,32,48,48,48,1.0,43.5
EXT,1110,9,12,0.6667,7,factorial,Optimal,True,0.0,,216.0,0.666667,1.0,32,48,48,48,1.0,18.9
EXT,1110,9,12,0.6667,21,factorial,Optimal,True,0.0,,250.0,0.666667,1.0,32,48,48,48,1.0,72.3
EXT,1110,9,12,0.6667,137,factorial,Optimal,True,0.0,,237.0,0.666667,1.0,32,48,48,48,1.0,43.7
EXT,300,3,12,0.6667,42,factorial,Optimal,True,0.0,,145.0,0.5,1.0,24,48,48,48,0.75,4.7
EXT,300,3,12,0.6667,99,factorial,Optimal,True,0.0,,167.0,0.5,1.0,24,48,48,48,0.75,80.2
EXT,300,3,12,0.6667,314,factorial,Optimal,True,0.0,,120.0,0.333333,1.0,16,48,48,48,0.5,20.8
EXT,300,3,12,0.6667,7,factorial,Optimal,True,0.0,,116.0,0.333333,1.0,16,48,48,48,0.5,56.9
EXT,300,3,12,0.6667,21,factorial,Optimal,True,0.0,,198.0,0.5,1.0,24,48,48,48,0.75,40.9
EXT,300,3,12,0.6667,137,factorial,Optimal,True,0.0,,237.0,0.666667,1.0,32,48,48,48,1.0,47.2
