N_P,v_A,dk,seed,mode,status,proven,max_gap,sv,hr,sec
6,300,3,42,zone,Optimal,True,0.0,44.0,0.25,0.4
6,300,9,42,zone,Optimal,True,0.0,141.0,1.0,0.7
6,1110,3,42,zone,Optimal,True,0.0,141.0,1.0,2.2
6,1110,9,42,zone,Optimal,True,0.0,141.0,1.0,1.1
10,300,3,42,zone,Optimal,True,0.0,103.0,0.4,12.8
10,300,9,42,zone,Optimal,True,0.0,187.0,0.8,13.2
10,1110,3,42,zone,Optimal,True,0.0,187.0,0.8,147.1
10,1110,9,42,zone,Optimal,True,0.0,187.0,0.8,13.8
12,300,3,42,zone,Optimal,True,0.0,145.0,0.5,6.5
12,300,9,42,zone,Optimal,True,0.0,194.0,0.6667,30.1
12,1110,3,42,zone,Optimal,True,0.0,194.0,0.6667,340.0
12,1110,9,42,zone,Optimal,True,0.0,194.0,0.6667,37.0
