v_A,dk_min,N_P,WoverNP,seed,status,obj,sv,hr,rr,n_hit,n_K,n_exp,n_P,weapon_bind,sec
300,3,6,1.333,42,Optimal,16055.0,9.0,0.0417,1.0,1,24,24,24,0.0,2.5
300,3,6,1.333,99,Optimal,16935.0,99.0,0.7083,1.0,17,24,24,24,0.0,1.6
300,3,6,1.333,314,Optimal,17326.0,64.0,0.5,1.0,12,24,24,24,0.0,3.3
300,9,6,1.333,42,Optimal,16187.0,141.0,1.0,1.0,24,24,24,24,0.0,0.4
300,9,6,1.333,99,Optimal,16973.0,137.0,1.0,1.0,24,24,24,24,0.0,0.5
300,9,6,1.333,314,Optimal,17398.0,136.0,1.0,1.0,24,24,24,24,0.0,0.6
1110,3,6,1.333,42,Optimal,16187.0,141.0,1.0,1.0,24,24,24,24,0.0,0.5
1110,3,6,1.333,99,Optimal,16973.0,137.0,1.0,1.0,24,24,24,24,0.0,0.4
1110,3,6,1.333,314,Optimal,17398.0,136.0,1.0,1.0,24,24,24,24,0.0,0.4
1110,9,6,1.333,42,Optimal,16187.0,141.0,1.0,1.0,24,24,24,24,0.0,0.5
1110,9,6,1.333,99,Optimal,16973.0,137.0,1.0,1.0,24,24,24,24,0.0,0.4
1110,9,6,1.333,314,Optimal,17398.0,136.0,1.0,1.0,24,24,24,24,0.0,0.4
300,9,10,0.8,42,Optimal,44166.0,187.0,0.8,1.0,32,40,40,40,1.0,1.8
300,9,10,0.8,99,Optimal,47668.0,208.0,0.8,1.0,32,40,40,40,1.0,1.9
300,9,10,0.8,314,Optimal,47721.0,201.0,0.8,1.0,32,40,40,40,1.0,1.7
1110,3,10,0.8,42,Optimal,44166.0,187.0,0.8,1.0,32,40,40,40,1.0,1.8
1110,3,10,0.8,99,Optimal,47668.0,208.0,0.8,1.0,32,40,40,40,1.0,1.6
1110,3,10,0.8,314,Optimal,47721.0,201.0,0.8,1.0,32,40,40,40,1.0,1.8
1110,9,10,0.8,42,Optimal,44166.0,187.0,0.8,1.0,32,40,40,40,1.0,2.0
1110,9,10,0.8,99,Optimal,47668.0,208.0,0.8,1.0,32,40,40,40,1.0,1.6
1110,9,10,0.8,314,Optimal,47721.0,201.0,0.8,1.0,32,40,40,40,1.0,1.9
300,9,12,0.667,42,Optimal,59289.0,194.0,0.6667,1.0,32,48,48,48,1.0,3.0
300,9,12,0.667,99,Optimal,66520.0,220.0,0.6667,1.0,32,48,48,48,1.0,2.8
300,9,12,0.667,314,Optimal,71281.0,217.0,0.6667,1.0,32,48,48,48,1.0,3.1
1110,3,12,0.667,42,Optimal,59289.0,194.0,0.6667,1.0,32,48,48,48,1.0,3.6
1110,3,12,0.667,99,Optimal,66520.0,220.0,0.6667,1.0,32,48,48,48,1.0,2.9
1110,3,12,0.667,314,Optimal,71281.0,217.0,0.6667,1.0,32,48,48,48,1.0,3.1
1110,9,12,0.667,42,Optimal,59289.0,194.0,0.6667,1.0,32,48,48,48,1.0,3.1
1110,9,12,0.667,99,Optimal,66520.0,220.0,0.6667,1.0,32,48,48,48,1.0,3.1
1110,9,12,0.667,314,Optimal,71281.0,217.0,0.6667,1.0,32,48,48,48,1.0,2.4
300,3,10,0.8,42,Optimal,44075.0,96.0,0.4,1.0,16,40,40,40,0.5,41.8
300,3,10,0.8,99,Optimal,47503.0,43.0,0.2,1.0,8,40,40,40,0.25,44.7
300,3,10,0.8,314,Not Solved,0.0,0,0.0,0.0,0,40,0,40,0.0,90.8
300,3,10,0.8,314,Not Solved,0.0,0,0.0,0.0,0,40,0,40,0.0,151.0
300,3,12,0.667,42,Optimal,59235.0,140.0,0.5,1.0,24,48,48,48,0.75,51.3
300,3,12,0.667,99,Not Solved,0.0,0,0.0,0.0,0,48,0,48,0.0,76.1
300,3,12,0.667,314,Not Solved,0.0,0,0.0,0.0,0,48,0,48,0.0,76.2
