run_id,type,v_A_kmh,dk_min,N_P_zone,cV,cD,cP,seed,sv,hr,rr,n_hit,n_exp,weapon_bind,sec,solver_sec,status
1,factorial,300.0,3.0,6,-1,-1,-1,7,21.0,0.2083,1.0,5,24,0.0,29.72,29.62,Optimal
1,factorial,300.0,3.0,6,-1,-1,-1,21,37.0,0.25,1.0,6,24,0.0,12.28,12.21,Optimal
1,factorial,300.0,3.0,6,-1,-1,-1,42,9.0,0.0417,1.0,1,24,0.0,7.69,7.59,Optimal
1,factorial,300.0,3.0,6,-1,-1,-1,99,99.0,0.7083,1.0,17,24,0.0,14.26,14.16,Optimal
1,factorial,300.0,3.0,6,-1,-1,-1,137,97.0,0.75,1.0,18,24,0.0,37.92,37.85,Optimal
1,factorial,300.0,3.0,6,-1,-1,-1,314,64.0,0.5,1.0,12,24,0.0,24.04,23.93,Optimal
2,factorial,300.0,3.0,14,-1,-1,1,7,0.0,0.0,0.7321,0,41,0.0,6001.21,6000.84,Feasible
2,factorial,300.0,3.0,14,-1,-1,1,21,161.0,0.3929,1.0,22,56,0.5,6001.07,6000.73,Feasible
2,factorial,300.0,3.0,14,-1,-1,1,42,165.0,0.4286,1.0,24,56,0.75,6001.07,6000.76,Feasible
2,factorial,300.0,3.0,14,-1,-1,1,99,167.0,0.4286,1.0,24,56,0.75,1369.44,1369.1,Optimal
2,factorial,300.0,3.0,14,-1,-1,1,137,79.0,0.1786,0.7679,10,43,0.0,6001.03,6000.72,Feasible
2,factorial,300.0,3.0,14,-1,-1,1,314,0.0,0.0,0.0,0,0,0.0,6001.06,6000.71,Feasible
3,factorial,300.0,9.0,6,-1,1,-1,7,143.0,1.0,1.0,24,24,0.0,2.46,2.4,Optimal
3,factorial,300.0,9.0,6,-1,1,-1,21,124.0,1.0,1.0,24,24,0.0,2.74,2.68,Optimal
3,factorial,300.0,9.0,6,-1,1,-1,42,141.0,1.0,1.0,24,24,0.0,1.22,1.12,Optimal
3,factorial,300.0,9.0,6,-1,1,-1,99,137.0,1.0,1.0,24,24,0.0,1.77,1.7,Optimal
3,factorial,300.0,9.0,6,-1,1,-1,137,139.0,1.0,1.0,24,24,0.0,3.34,3.24,Optimal
3,factorial,300.0,9.0,6,-1,1,-1,314,136.0,1.0,1.0,24,24,0.0,2.76,2.68,Optimal
4,factorial,300.0,9.0,14,-1,1,1,7,222.0,0.5714,1.0,32,56,1.0,29.02,28.7,Optimal
4,factorial,300.0,9.0,14,-1,1,1,21,280.0,0.5714,1.0,32,56,1.0,17.12,16.78,Optimal
4,factorial,300.0,9.0,14,-1,1,1,42,215.0,0.5714,1.0,32,56,1.0,55.08,54.75,Optimal
4,factorial,300.0,9.0,14,-1,1,1,99,228.0,0.5714,1.0,32,56,1.0,148.02,147.72,Optimal
4,factorial,300.0,9.0,14,-1,1,1,137,247.0,0.5714,1.0,32,56,1.0,30.74,30.39,Optimal
4,factorial,300.0,9.0,14,-1,1,1,314,223.0,0.5714,1.0,32,56,1.0,17.45,17.15,Optimal
5,factorial,1110.0,3.0,6,1,-1,-1,7,143.0,1.0,1.0,24,24,0.0,1.41,1.34,Optimal
5,factorial,1110.0,3.0,6,1,-1,-1,21,124.0,1.0,1.0,24,24,0.0,1.94,1.84,Optimal
5,factorial,1110.0,3.0,6,1,-1,-1,42,141.0,1.0,1.0,24,24,0.0,1.76,1.67,Optimal
5,factorial,1110.0,3.0,6,1,-1,-1,99,137.0,1.0,1.0,24,24,0.0,1.71,1.64,Optimal
5,factorial,1110.0,3.0,6,1,-1,-1,137,139.0,1.0,1.0,24,24,0.0,2.55,2.49,Optimal
5,factorial,1110.0,3.0,6,1,-1,-1,314,136.0,1.0,1.0,24,24,0.0,2.49,2.43,Optimal
6,factorial,1110.0,3.0,14,1,-1,1,7,222.0,0.5714,1.0,32,56,1.0,20.16,19.83,Optimal
6,factorial,1110.0,3.0,14,1,-1,1,21,280.0,0.5714,1.0,32,56,1.0,14.15,13.84,Optimal
6,factorial,1110.0,3.0,14,1,-1,1,42,215.0,0.5714,1.0,32,56,1.0,170.19,169.88,Optimal
6,factorial,1110.0,3.0,14,1,-1,1,99,228.0,0.5714,1.0,32,56,1.0,57.18,56.85,Optimal
6,factorial,1110.0,3.0,14,1,-1,1,137,247.0,0.5714,1.0,32,56,1.0,45.52,45.19,Optimal
6,factorial,1110.0,3.0,14,1,-1,1,314,223.0,0.5714,1.0,32,56,1.0,76.12,75.77,Optimal
7,factorial,1110.0,9.0,6,1,1,-1,7,143.0,1.0,1.0,24,24,0.0,5.99,5.93,Optimal
7,factorial,1110.0,9.0,6,1,1,-1,21,124.0,1.0,1.0,24,24,0.0,1.83,1.76,Optimal
7,factorial,1110.0,9.0,6,1,1,-1,42,141.0,1.0,1.0,24,24,0.0,1.79,1.72,Optimal
7,factorial,1110.0,9.0,6,1,1,-1,99,137.0,1.0,1.0,24,24,0.0,1.46,1.39,Optimal
7,factorial,1110.0,9.0,6,1,1,-1,137,139.0,1.0,1.0,24,24,0.0,2.63,2.55,Optimal
7,factorial,1110.0,9.0,6,1,1,-1,314,136.0,1.0,1.0,24,24,0.0,2.4,2.32,Optimal
8,factorial,1110.0,9.0,14,1,1,1,7,222.0,0.5714,1.0,32,56,1.0,78.34,78.0,Optimal
8,factorial,1110.0,9.0,14,1,1,1,21,280.0,0.5714,1.0,32,56,1.0,66.2,65.84,Optimal
8,factorial,1110.0,9.0,14,1,1,1,42,215.0,0.5714,1.0,32,56,1.0,24.2,23.89,Optimal
8,factorial,1110.0,9.0,14,1,1,1,99,228.0,0.5714,1.0,32,56,1.0,70.96,70.65,Optimal
8,factorial,1110.0,9.0,14,1,1,1,137,247.0,0.5714,1.0,32,56,1.0,61.35,61.0,Optimal
8,factorial,1110.0,9.0,14,1,1,1,314,223.0,0.5714,1.0,32,56,1.0,14.22,13.84,Optimal
9,center,600.0,6.0,10,0,0,0,7,199.0,0.8,1.0,32,40,1.0,10.16,9.99,Optimal
9,center,600.0,6.0,10,0,0,0,21,223.0,0.8,1.0,32,40,1.0,46.16,45.98,Optimal
9,center,600.0,6.0,10,0,0,0,42,187.0,0.8,1.0,32,40,1.0,9.3,9.13,Optimal
9,center,600.0,6.0,10,0,0,0,99,208.0,0.8,1.0,32,40,1.0,9.13,8.93,Optimal
9,center,600.0,6.0,10,0,0,0,137,208.0,0.8,1.0,32,40,1.0,17.62,17.44,Optimal
9,center,600.0,6.0,10,0,0,0,314,201.0,0.8,1.0,32,40,1.0,7.26,7.06,Optimal
10,center,600.0,6.0,10,0,0,0,7,199.0,0.8,1.0,32,40,1.0,9.59,9.4,Optimal
10,center,600.0,6.0,10,0,0,0,21,223.0,0.8,1.0,32,40,1.0,46.95,46.8,Optimal
10,center,600.0,6.0,10,0,0,0,42,187.0,0.8,1.0,32,40,1.0,9.25,9.07,Optimal
10,center,600.0,6.0,10,0,0,0,99,208.0,0.8,1.0,32,40,1.0,7.99,7.84,Optimal
10,center,600.0,6.0,10,0,0,0,137,208.0,0.8,1.0,32,40,1.0,17.61,17.44,Optimal
10,center,600.0,6.0,10,0,0,0,314,201.0,0.8,1.0,32,40,1.0,7.23,7.05,Optimal
11,center,600.0,6.0,10,0,0,0,7,199.0,0.8,1.0,32,40,1.0,9.6,9.44,Optimal
11,center,600.0,6.0,10,0,0,0,21,223.0,0.8,1.0,32,40,1.0,46.84,46.66,Optimal
11,center,600.0,6.0,10,0,0,0,42,187.0,0.8,1.0,32,40,1.0,9.56,9.39,Optimal
11,center,600.0,6.0,10,0,0,0,99,208.0,0.8,1.0,32,40,1.0,8.88,8.72,Optimal
11,center,600.0,6.0,10,0,0,0,137,208.0,0.8,1.0,32,40,1.0,18.07,17.92,Optimal
11,center,600.0,6.0,10,0,0,0,314,201.0,0.8,1.0,32,40,1.0,7.29,7.13,Optimal
