run_id,type,v_A_kmh,dk_min,N_P_zone,cV,cD,cP,seed,sv,hr,rr,n_hit,n_exp,weapon_bind,sec,solver_sec,status
1,factorial,300.0,3.0,4,-1,-1,-1,7,44.0,0.375,1.0,6,16,0.0,1.63,1.6,Optimal
1,factorial,300.0,3.0,4,-1,-1,-1,21,30.0,0.25,1.0,4,16,0.0,1.71,1.65,Optimal
1,factorial,300.0,3.0,4,-1,-1,-1,42,13.0,0.1875,1.0,3,16,0.0,1.78,1.75,Optimal
1,factorial,300.0,3.0,4,-1,-1,-1,99,17.0,0.25,1.0,4,16,0.0,2.24,2.2,Optimal
1,factorial,300.0,3.0,4,-1,-1,-1,137,0.0,0.0,1.0,0,16,0.0,2.19,2.13,Optimal
1,factorial,300.0,3.0,4,-1,-1,-1,314,16.0,0.1875,1.0,3,16,0.0,2.03,1.99,Optimal
2,factorial,300.0,3.0,8,-1,-1,1,7,32.0,0.25,1.0,8,32,0.25,341.65,341.52,Optimal
2,factorial,300.0,3.0,8,-1,-1,1,21,50.0,0.2812,1.0,9,32,0.0,60.63,60.49,Optimal
2,factorial,300.0,3.0,8,-1,-1,1,42,41.0,0.2188,1.0,7,32,0.0,26.8,26.66,Optimal
2,factorial,300.0,3.0,8,-1,-1,1,99,133.0,0.625,1.0,20,32,0.25,46.09,45.95,Optimal
2,factorial,300.0,3.0,8,-1,-1,1,137,165.0,0.9375,1.0,30,32,0.5,8.58,8.43,Optimal
2,factorial,300.0,3.0,8,-1,-1,1,314,139.0,0.75,1.0,24,32,0.75,134.13,134.02,Optimal
3,factorial,300.0,9.0,4,-1,1,-1,7,97.0,1.0,1.0,16,16,0.0,1.0,0.96,Optimal
3,factorial,300.0,9.0,4,-1,1,-1,21,99.0,1.0,1.0,16,16,0.0,0.44,0.41,Optimal
3,factorial,300.0,9.0,4,-1,1,-1,42,94.0,1.0,1.0,16,16,0.0,0.81,0.77,Optimal
3,factorial,300.0,9.0,4,-1,1,-1,99,75.0,1.0,1.0,16,16,0.0,0.75,0.71,Optimal
3,factorial,300.0,9.0,4,-1,1,-1,137,82.0,1.0,1.0,16,16,0.0,0.6,0.56,Optimal
3,factorial,300.0,9.0,4,-1,1,-1,314,85.0,1.0,1.0,16,16,0.0,0.65,0.6,Optimal
4,factorial,300.0,9.0,8,-1,1,1,7,165.0,1.0,1.0,32,32,1.0,6.02,5.89,Optimal
4,factorial,300.0,9.0,8,-1,1,1,21,179.0,1.0,1.0,32,32,1.0,2.91,2.8,Optimal
4,factorial,300.0,9.0,8,-1,1,1,42,163.0,1.0,1.0,32,32,1.0,1.81,1.7,Optimal
4,factorial,300.0,9.0,8,-1,1,1,99,191.0,1.0,1.0,32,32,1.0,3.35,3.24,Optimal
4,factorial,300.0,9.0,8,-1,1,1,137,175.0,1.0,1.0,32,32,1.0,5.96,5.82,Optimal
4,factorial,300.0,9.0,8,-1,1,1,314,191.0,1.0,1.0,32,32,1.0,4.54,4.4,Optimal
5,factorial,1110.0,3.0,4,1,-1,-1,7,97.0,1.0,1.0,16,16,0.0,1.1,1.07,Optimal
5,factorial,1110.0,3.0,4,1,-1,-1,21,99.0,1.0,1.0,16,16,0.0,1.1,1.06,Optimal
5,factorial,1110.0,3.0,4,1,-1,-1,42,94.0,1.0,1.0,16,16,0.0,0.73,0.69,Optimal
5,factorial,1110.0,3.0,4,1,-1,-1,99,75.0,1.0,1.0,16,16,0.0,0.74,0.66,Optimal
