run_id,type,n_R,N_P_zone,dk_min,cN,cP,cD,seed,sv,hr,rr,n_hit,n_exp,weapon_bind,sec,solver_sec,status
1,factorial,2,6,3.0,-1,-1,-1,42,143.0,1.0,1.0,24,24,0.0,34.02,33.97,Optimal
1,factorial,2,6,3.0,-1,-1,-1,99,130.0,1.0,1.0,24,24,0.0,5.23,5.11,Optimal
1,factorial,2,6,3.0,-1,-1,-1,314,140.0,1.0,1.0,24,24,0.0,19.9,19.83,Optimal
2,factorial,2,6,11.0,-1,-1,1,42,143.0,1.0,1.0,24,24,0.0,2.63,2.54,Optimal
2,factorial,2,6,11.0,-1,-1,1,99,130.0,1.0,1.0,24,24,0.0,2.17,2.08,Optimal
2,factorial,2,6,11.0,-1,-1,1,314,140.0,1.0,1.0,24,24,0.0,2.53,2.4,Optimal
3,factorial,2,14,3.0,-1,1,-1,42,0.0,0.0,0.0,0,0,0.0,60.8,60.51,Feasible
3,factorial,2,14,3.0,-1,1,-1,99,0.0,0.0,0.0,0,0,0.0,60.66,60.44,Feasible
3,factorial,2,14,3.0,-1,1,-1,314,0.0,0.0,0.0179,0,1,0.0,60.61,60.41,Feasible
4,factorial,2,14,11.0,-1,1,1,42,111.0,0.2679,0.9107,15,51,0.0,60.7,60.46,Feasible
4,factorial,2,14,11.0,-1,1,1,99,31.0,0.0714,0.0714,4,4,0.0,60.61,60.4,Feasible
4,factorial,2,14,11.0,-1,1,1,314,105.0,0.2857,0.8393,16,47,0.0,60.62,60.4,Feasible
5,factorial,4,6,3.0,1,-1,-1,42,143.0,1.0,1.0,24,24,0.0,28.3,28.2,Optimal
5,factorial,4,6,3.0,1,-1,-1,99,130.0,1.0,1.0,24,24,0.0,6.48,6.4,Optimal
5,factorial,4,6,3.0,1,-1,-1,314,140.0,1.0,1.0,24,24,0.0,8.66,8.55,Optimal
6,factorial,4,6,11.0,1,-1,1,42,143.0,1.0,1.0,24,24,0.0,10.14,10.07,Optimal
6,factorial,4,6,11.0,1,-1,1,99,130.0,1.0,1.0,24,24,0.0,3.48,3.36,Optimal
6,factorial,4,6,11.0,1,-1,1,314,140.0,1.0,1.0,24,24,0.0,2.15,2.07,Optimal
7,factorial,4,14,3.0,1,1,-1,42,0.0,0.0,0.0,0,0,0.0,61.16,60.78,Feasible
7,factorial,4,14,3.0,1,1,-1,99,0.0,0.0,0.0,0,0,0.0,61.04,60.69,Feasible
7,factorial,4,14,3.0,1,1,-1,314,0.0,0.0,0.0,0,0,0.0,61.06,60.72,Feasible
8,factorial,4,14,11.0,1,1,1,42,0.0,0.0,0.0,0,0,0.0,61.07,60.71,Feasible
8,factorial,4,14,11.0,1,1,1,99,0.0,0.0,0.0,0,0,0.0,61.1,60.77,Feasible
8,factorial,4,14,11.0,1,1,1,314,0.0,0.0,0.0,0,0,0.0,61.1,60.74,Feasible
9,center,3,10,7.0,0,0,0,42,10.0,0.05,0.875,2,35,0.0,60.54,60.35,Feasible
9,center,3,10,7.0,0,0,0,99,0.0,0.0,0.0,0,0,0.0,60.48,60.31,Feasible
9,center,3,10,7.0,0,0,0,314,45.0,0.2,0.875,8,35,0.0,60.51,60.33,Feasible
10,center,3,10,7.0,0,0,0,42,39.0,0.15,0.9,6,36,0.0,60.48,60.31,Feasible
10,center,3,10,7.0,0,0,0,99,0.0,0.0,0.0,0,0,0.0,60.48,60.34,Feasible
10,center,3,10,7.0,0,0,0,314,45.0,0.2,0.875,8,35,0.0,60.42,60.28,Feasible
11,center,3,10,7.0,0,0,0,42,39.0,0.15,0.9,6,36,0.0,60.46,60.3,Feasible
11,center,3,10,7.0,0,0,0,99,0.0,0.0,0.0,0,0,0.0,60.47,60.3,Feasible
11,center,3,10,7.0,0,0,0,314,45.0,0.2,0.875,8,35,0.0,60.46,60.29,Feasible
