v_A,dk,N_P,wmax,seed,status,sv,hr,sec
300,3,6,0.0,42,Optimal,44.0,0.25,1.1
300,3,6,0.0,99,Optimal,105.0,0.75,3.0
300,3,6,0.0,314,Optimal,64.0,0.5,2.8
300,3,6,1.0,42,Optimal,44.0,0.25,1.0
300,3,6,1.0,99,Optimal,105.0,0.75,4.3
300,3,6,1.0,314,Optimal,64.0,0.5,2.1
300,3,6,2.0,42,Optimal,44.0,0.25,0.9
300,3,6,2.0,99,Optimal,105.0,0.75,3.9
300,3,6,2.0,314,Optimal,64.0,0.5,2.0
300,3,6,5.0,42,Optimal,44.0,0.25,0.9
300,3,6,5.0,99,Optimal,105.0,0.75,3.9
300,3,6,5.0,314,Optimal,64.0,0.5,2.1
300,3,6,30.0,42,Optimal,44.0,0.25,0.8
300,3,6,30.0,99,Optimal,105.0,0.75,3.3
300,3,6,30.0,314,Optimal,64.0,0.5,2.5
300,9,6,0.0,42,Optimal,141.0,1.0,3.6
300,9,6,0.0,99,Optimal,137.0,1.0,4.0
300,9,6,0.0,314,Optimal,136.0,1.0,2.9
300,9,6,1.0,42,Optimal,141.0,1.0,3.9
300,9,6,1.0,99,Optimal,137.0,1.0,4.4
300,9,6,1.0,314,Optimal,136.0,1.0,3.7
300,9,6,2.0,42,Optimal,141.0,1.0,3.2
300,9,6,2.0,99,Optimal,137.0,1.0,4.5
300,9,6,2.0,314,Optimal,136.0,1.0,2.9
300,9,6,5.0,42,Optimal,141.0,1.0,4.0
300,9,6,5.0,99,Optimal,137.0,1.0,5.6
300,9,6,5.0,314,Optimal,136.0,1.0,3.4
300,9,6,30.0,42,Optimal,141.0,1.0,4.7
300,9,6,30.0,99,Optimal,137.0,1.0,2.7
300,9,6,30.0,314,Optimal,136.0,1.0,3.4
300,3,10,0.0,42,Optimal,103.0,0.4,21.9
300,3,10,0.0,99,Optimal,48.0,0.2,62.1
300,3,10,0.0,314,Optimal,157.0,0.6,20.3
300,3,10,1.0,42,Optimal,103.0,0.4,26.7
300,3,10,1.0,99,Optimal,48.0,0.2,28.9
300,3,10,1.0,314,Optimal,157.0,0.6,57.6
300,3,10,2.0,42,Optimal,103.0,0.4,30.6
300,3,10,2.0,99,Optimal,48.0,0.2,13.7
300,3,10,2.0,314,Optimal,157.0,0.6,48.8
300,3,10,5.0,42,Optimal,103.0,0.4,19.9
300,3,10,5.0,99,Optimal,48.0,0.2,33.1
300,3,10,5.0,314,Optimal,157.0,0.6,22.4
300,3,10,30.0,42,Optimal,103.0,0.4,32.7
300,3,10,30.0,99,Optimal,48.0,0.2,6.3
300,3,10,30.0,314,Optimal,157.0,0.6,21.8
300,9,10,0.0,42,Optimal,187.0,0.8,27.9
300,9,10,0.0,99,Optimal,208.0,0.8,29.2
300,9,10,0.0,314,Optimal,201.0,0.8,67.6
300,9,10,1.0,42,Optimal,187.0,0.8,23.1
300,9,10,1.0,99,Optimal,208.0,0.8,40.7
300,9,10,1.0,314,Optimal,201.0,0.8,48.3
300,9,10,2.0,42,Optimal,187.0,0.8,23.2
300,9,10,2.0,99,Optimal,208.0,0.8,35.4
300,9,10,2.0,314,Optimal,201.0,0.8,50.6
300,9,10,5.0,42,Optimal,187.0,0.8,11.8
300,9,10,5.0,99,Optimal,208.0,0.8,58.3
300,9,10,5.0,314,Optimal,201.0,0.8,26.5
300,9,10,30.0,42,Optimal,187.0,0.8,5.6
300,9,10,30.0,99,Optimal,208.0,0.8,24.8
300,9,10,30.0,314,Optimal,201.0,0.8,23.2

