Response,Term,Low_mean,High_mean,Effect,SS,F,p,sig
Strike Value,cV,127.2083,170.5,43.2917,22490.0208,39.027,0.0,***
Strike Value,cD,127.2083,170.5,43.2917,22490.0208,39.027,0.0,***
Strike Value,cP,118.0833,179.625,61.5417,45448.5208,78.867,0.0,***
Strike Value,cV:cD,170.5,127.2083,-43.2917,22490.0208,39.027,0.0,***
Strike Value,cV:cP,145.7917,151.9167,6.125,450.1875,0.781,0.38205,n.s.
Strike Value,cD:cP,145.7917,151.9167,6.125,450.1875,0.781,0.38205,n.s.
Strike Value,cV:cD:cP,151.9167,145.7917,-6.125,450.1875,0.781,0.38205,n.s.
Hit Ratio,cV,0.6646,0.9,0.2354,0.6651,57.57,0.0,***
Hit Ratio,cD,0.6646,0.9,0.2354,0.6651,57.57,0.0,***
Hit Ratio,cP,0.8646,0.7,-0.1646,0.3251,28.138,0.0,***
Hit Ratio,cV:cD,0.9,0.6646,-0.2354,0.6651,57.57,0.0,***
Hit Ratio,cV:cP,0.8,0.7646,-0.0354,0.0151,1.303,0.26046,n.s.
Hit Ratio,cD:cP,0.8,0.7646,-0.0354,0.0151,1.303,0.26046,n.s.
Hit Ratio,cV:cD:cP,0.7646,0.8,0.0354,0.0151,1.303,0.26046,n.s.
