Response,Term,Low_mean,High_mean,Effect,SS,F,p,sig
Strike Value,cV,100.25,133.0,32.75,12870.75,26.814,1e-05,***
Strike Value,cD,100.25,133.0,32.75,12870.75,26.814,1e-05,***
Strike Value,cP,72.75,160.5,87.75,92400.75,192.502,0.0,***
Strike Value,cV:cD,133.0,100.25,-32.75,12870.75,26.814,1e-05,***
Strike Value,cV:cP,116.1667,117.0833,0.9167,10.0833,0.021,0.88549,n.s.
Strike Value,cD:cP,116.1667,117.0833,0.9167,10.0833,0.021,0.88549,n.s.
Strike Value,cV:cD:cP,117.0833,116.1667,-0.9167,10.0833,0.021,0.88549,n.s.
Hit Ratio,cV,0.7292,1.0,0.2708,0.8802,67.6,0.0,***
Hit Ratio,cD,0.7292,1.0,0.2708,0.8802,67.6,0.0,***
Hit Ratio,cP,0.8229,0.9062,0.0833,0.0833,6.4,0.01545,*
Hit Ratio,cV:cD,1.0,0.7292,-0.2708,0.8802,67.6,0.0,***
Hit Ratio,cV:cP,0.9062,0.8229,-0.0833,0.0833,6.4,0.01545,*
Hit Ratio,cD:cP,0.9062,0.8229,-0.0833,0.0833,6.4,0.01545,*
Hit Ratio,cV:cD:cP,0.8229,0.9062,0.0833,0.0833,6.4,0.01545,*
